Chr	Start	Stop	gene_id	.	Strand	Length
1	2798792	2808819	tID=DHH00002B73v400399;Name=DHH00002B73v400399_Hip1_LCV5p6_LCV3p52	.	+	10028
1	2811899	2818745	tID=DHH02340B73v400001;Name=DHH02340B73v400001_NA_LCV5p7_LCV3p5	.	+	6847
1	2872819	2874499	tID=RLX15467B73v400001;Name=RLX15467B73v400001_NA_LTRsimilarity95.34	.	+	1681
1	2879194	2885424	tID=RLX15466B73v400001;Name=RLX15466B73v400001_NA_LTRsimilarity85.43	.	+	6231
1	2921235	2932967	tID=RLC00019B73v400033;Name=RLC00019B73v400033_giepum_LTRsimilarity98.47	.	+	11733
1	2936254	2947302	tID=RLC00019B73v400420;Name=RLC00019B73v400420_giepum_LTRsimilarity97.26	.	+	11049
1	2956231	2968961	tID=DHH00010B73v400331;Name=DHH00010B73v400331_NA_LCV5p10_LCV3p5	.	+	12731
1	2962197	2966546	tID=RLX04201B73v400001;Name=RLX04201B73v400001_tojena_LTRsimilarity98.96	.	+	4350
1	2978044	2983891	tID=RLC00367B73v400001;Name=RLC00367B73v400001_NA_LTRsimilarity99.75	.	+	5848
1	2983892	2989609	tID=RLG00222B73v400017;Name=RLG00222B73v400017_bogu_LTRsimilarity98.25	.	+	5718
1	2994701	2994754	tID=DTA_1_2994701_2994754;Name=DTA,TSDlen8,TIRlen11	.	+	54
1	2997311	2998447	tID=DHH00002B73v406104;Name=DHH00002B73v406104_Hip1_LCV5p19_LCV3p36	.	+	1137
1	3050652	3050846	tID=DTM_1_3050652_3050846;Name=DTM,TSDlen9,TIRlen40	.	+	195
1	3081149	3096715	tID=DHH00003B73v402743;Name=DHH00003B73v402743_NA_LCV5p13_LCV3p5	.	+	15567
1	3132095	3133472	tID=RLX15463B73v400001;Name=RLX15463B73v400001_NA_LTRsimilarity87.39	.	+	1378
1	3171475	3174402	tID=DHH02306B73v400001;Name=DHH02306B73v400001_NA_LCV5p11_LCV3p6	.	+	2928
1	3235425	3256453	tID=RLC00004B73v408901;Name=RLC00004B73v408901_opie_LTRsimilarity93.76	.	+	21029
1	3280434	3285258	tID=DHH02303B73v400001;Name=DHH02303B73v400001_NA_LCV5p9_LCV3p35	.	+	4825
1	3286047	3288717	tID=DHH02301B73v400001;Name=DHH02301B73v400001_NA_LCV5p11_LCV3p9	.	+	2671
1	3293922	3296433	tID=DHH00012B73v400023;Name=DHH00012B73v400023_NA_LCV5p9_LCV3p8	.	+	2512
1	3364341	3377836	tID=DHH02300B73v400001;Name=DHH02300B73v400001_NA_LCV5p5_LCV3p5	.	+	13496
1	3370414	3370858	tID=DTH_1_3370414_3370858;Name=DTH,TSDlen3,TIRlen14	.	+	445
1	3386806	3394864	tID=RLC04200B73v400001;Name=RLC04200B73v400001_NA_LTRsimilarity86.49	.	+	8059
1	3440253	3450539	tID=DHH00032B73v400005;Name=DHH00032B73v400005_NA_LCV5p19_LCV3p5	.	+	10287
1	3451223	3451376	tID=DTA_1_3451223_3451376;Name=DTA,TSDlen8,TIRlen11	.	+	154
1	3481479	3482004	tID=DTH_1_3481479_3482004;Name=DTH,TSDlen3,TIRlen14	.	+	526
1	3541541	3554209	tID=DHH02295B73v400001;Name=DHH02295B73v400001_NA_LCV5p10_LCV3p5	.	+	12669
1	3661534	3690047	tID=RLG00003B73v408324;Name=RLG00003B73v408324_huck_LTRsimilarity93.33	.	+	28514
1	3690417	3691988	tID=DHH00002B73v400401;Name=DHH00002B73v400401_Hip1_LCV5p29_LCV3p50	.	+	1572
1	3727060	3755447	tID=RLC00430B73v400001;Name=RLC00430B73v400001_NA_LTRsimilarity86.91	.	+	28388
1	3728752	3752076	tID=RLX00133B73v400001;Name=RLX00133B73v400001_NA_LTRsimilarity95.41	.	+	23325
1	3813865	3840240	tID=RLC00004B73v408902;Name=RLC00004B73v408902_opie_LTRsimilarity97.03	.	+	26376
1	3840297	3848641	tID=DHH00003B73v402746;Name=DHH00003B73v402746_NA_LCV5p11_LCV3p5	.	+	8345
1	3841139	3841669	tID=DTA_1_3841139_3841669;Name=DTA,TSDlen8,TIRlen11	.	+	531
1	3959524	3979131	tID=DHH00029B73v400003;Name=DHH00029B73v400003_NA_LCV5p12_LCV3p7	.	+	19608
1	3961666	3962718	tID=DTA_1_3961666_3962718;Name=DTA,TSDlen8,TIRlen11	.	+	1053
1	3985300	3987758	tID=DHH00002B73v406105;Name=DHH00002B73v406105_Hip1_LCV5p24_LCV3p37	.	+	2459
1	3998594	4033928	tID=RLG00003B73v411486;Name=RLG00003B73v411486_huck_LTRsimilarity99.58	.	+	35335
1	4126856	4127893	tID=DTA_1_4126856_4127893;Name=DTA,TSDlen8,TIRlen11	.	+	1038
1	4150448	4180524	tID=RLG00003B73v408325;Name=RLG00003B73v408325_huck_LTRsimilarity98.79	.	+	30077
1	4214639	4220190	tID=DHH00002B73v406106;Name=DHH00002B73v406106_Hip1_LCV5p23_LCV3p48	.	+	5552
1	4250463	4250742	tID=RLX23838B73v4S0001;Name=RLX23838B73v4S0001_NA_SoloLTR	.	+	280
1	4253187	4255973	tID=DHH00002B73v406107;Name=DHH00002B73v406107_Hip1_LCV5p10_LCV3p54	.	+	2787
1	4253276	4253426	tID=DTA_1_4253276_4253426;Name=DTA,TSDlen8,TIRlen11	.	+	151
1	4277522	4277710	tID=RLX01188B73v4S0001;Name=RLX01188B73v4S0001_NA_SoloLTR	.	+	189
1	4288874	4288955	tID=RLC00067B73v4S0001;Name=RLC00067B73v4S0001_NA_SoloLTR	.	+	82
1	4299911	4317279	tID=RLC00002B73v400715;Name=RLC00002B73v400715_ji_LTRsimilarity95.93	.	+	17369
1	4344697	4358928	tID=DHH00009B73v400038;Name=DHH00009B73v400038_NA_LCV5p7_LCV3p7	.	+	14232
1	4407587	4409681	tID=DHH00002B73v400402;Name=DHH00002B73v400402_Hip1_LCV5p10_LCV3p13	.	+	2095
1	4455560	4531962	tID=RLX00578B73v400004;Name=RLX00578B73v400004_NA_LTRsimilarity89.09	.	+	76403
1	4472758	4493041	tID=RLG00003B73v411487;Name=RLG00003B73v411487_huck_LTRsimilarity93.22	.	+	20284
1	4480214	4497671	tID=DHH00005B73v402053;Name=DHH00005B73v402053_NA_LCV5p6_LCV3p5	.	+	17458
1	4540017	4540143	tID=DTH_1_4540017_4540143;Name=DTH,TSDlen3,TIRlen14	.	+	127
1	4561906	4585119	tID=RLG00003B73v408326;Name=RLG00003B73v408326_huck_LTRsimilarity92.8	.	+	23214
1	4572295	4589982	tID=DHH00003B73v402747;Name=DHH00003B73v402747_NA_LCV5p7_LCV3p6	.	+	17688
1	4598973	4608800	tID=DHH00002B73v406108;Name=DHH00002B73v406108_Hip1_LCV5p8_LCV3p50	.	+	9828
1	4720935	4721041	tID=DTA_1_4720935_4721041;Name=DTA,TSDlen8,TIRlen11	.	+	107
1	4730914	4731046	tID=DTA_1_4730914_4731046;Name=DTA,TSDlen8,TIRlen11	.	+	133
1	4737918	4747921	tID=DHH00002B73v406109;Name=DHH00002B73v406109_Hip1_LCV5p9_LCV3p48	.	+	10004
1	4817045	4836785	tID=DHH00004B73v402141;Name=DHH00004B73v402141_NA_LCV5p6_LCV3p10	.	+	19741
1	4823082	4832447	tID=RLG00001B73v400982;Name=RLG00001B73v400982_cinful-zeon_LTRsimilarity96.02	.	+	9366
1	4846170	4850879	tID=DHH00002B73v406110;Name=DHH00002B73v406110_Hip1_LCV5p8_LCV3p50	.	+	4710
1	4939477	4948996	tID=RLC00002B73v400717;Name=RLC00002B73v400717_ji_LTRsimilarity99.77	.	+	9520
1	4953007	4960105	tID=RLG00001B73v400983;Name=RLG00001B73v400983_cinful-zeon_LTRsimilarity97.78	.	+	7099
1	4981067	4984985	tID=RLC15457B73v400001;Name=RLC15457B73v400001_NA_LTRsimilarity87.77	.	+	3919
1	5093435	5093734	tID=DTA_1_5093435_5093734;Name=DTA,TSDlen8,TIRlen11	.	+	300
1	5101280	5101472	tID=DTA_1_5101280_5101472;Name=DTA,TSDlen8,TIRlen11	.	+	193
1	5128926	5129228	tID=RST00125B73v400001;Name=RST00125B73v400001_NA_TSDlen14_TSDmismat3	.	+	303
1	5158759	5158924	tID=DTA_1_5158759_5158924;Name=DTA,TSDlen8,TIRlen11	.	+	166
1	5163057	5167801	tID=RLC15455B73v400001;Name=RLC15455B73v400001_ytar_LTRsimilarity87.39	.	+	4745
1	5191287	5209328	tID=DHH00001B73v406582;Name=DHH00001B73v406582_NA_LCV5p6_LCV3p10	.	+	18042
1	5192896	5200951	tID=RLC00015B73v400049;Name=RLC00015B73v400049_NA_LTRsimilarity95.49	.	+	8056
1	5209946	5213522	tID=DHH00003B73v400204;Name=DHH00003B73v400204_NA_LCV5p10_LCV3p6	.	+	3577
1	5334333	5336410	tID=DHH00002B73v400405;Name=DHH00002B73v400405_Hip1_LCV5p5_LCV3p7	.	+	2078
1	5424312	5473884	tID=RLC00067B73v400015;Name=RLC00067B73v400015_NA_LTRsimilarity86.09	.	+	49573
1	5436872	5460836	tID=RLG00007B73v402164;Name=RLG00007B73v402164_grande_LTRsimilarity98.41	.	+	23965
1	5475428	5477337	tID=RLC00064B73v400002;Name=RLC00064B73v400002_tuteh_LTRsimilarity99.26	.	+	1910
1	5498853	5499018	tID=DTT_1_5498853_5499018;Name=DTT,TSDlen2,TIRlen12	.	+	166
1	5501405	5514714	tID=RLX02285B73v400001;Name=RLX02285B73v400001_NA_LTRsimilarity90.89	.	+	13310
1	5517938	5518045	tID=DTA_1_5517938_5518045;Name=DTA,TSDlen8,TIRlen11	.	+	108
1	5592121	5592299	tID=DTH_1_5592121_5592299;Name=DTH,TSDlen3,TIRlen14	.	+	179
1	5615902	5638505	tID=RLG00003B73v408327;Name=RLG00003B73v408327_huck_LTRsimilarity92.73	.	+	22604
1	5656380	5673706	tID=DHH00004B73v400142;Name=DHH00004B73v400142_NA_LCV5p8_LCV3p10	.	+	17327
1	5705206	5705364	tID=DTH_1_5705206_5705364;Name=DTH,TSDlen3,TIRlen14	.	+	159
1	5712647	5720465	tID=DHH00002B73v400406;Name=DHH00002B73v400406_Hip1_LCV5p10_LCV3p36	.	+	7819
1	5816949	5817018	tID=DTA_1_5816949_5817018;Name=DTA,TSDlen8,TIRlen11	.	+	70
1	5825804	5877706	tID=RLG00003B73v411488;Name=RLG00003B73v411488_huck_LTRsimilarity92.27	.	+	51903
1	5895299	5908610	tID=DHH00511B73v400001;Name=DHH00511B73v400001_NA_LCV5p8_LCV3p6	.	+	13312
1	5897945	5903262	tID=RLG00312B73v400001;Name=RLG00312B73v400001_apil_LTRsimilarity98.68	.	+	5318
1	6002164	6018911	tID=RLC00015B73v400554;Name=RLC00015B73v400554_NA_LTRsimilarity94.12	.	+	16748
1	6006587	6020378	tID=DHH00003B73v402748;Name=DHH00003B73v402748_NA_LCV5p10_LCV3p5	.	+	13792
1	6027598	6031791	tID=DHH00002B73v406111;Name=DHH00002B73v406111_Hip1_LCV5p8_LCV3p50	.	+	4194
1	6082502	6087997	tID=DHH00029B73v400004;Name=DHH00029B73v400004_NA_LCV5p10_LCV3p7	.	+	5496
1	6089551	6104675	tID=RLC00004B73v400631;Name=RLC00004B73v400631_opie_LTRsimilarity87.69	.	+	15125
1	6107069	6112775	tID=DHH00070B73v400001;Name=DHH00070B73v400001_NA_LCV5p7_LCV3p5	.	+	5707
1	6115079	6116839	tID=RLX00094B73v400008;Name=RLX00094B73v400008_NA_LTRsimilarity95.54	.	+	1761
1	6120158	6124352	tID=RLC15450B73v400001;Name=RLC15450B73v400001_NA_LTRsimilarity85.03	.	+	4195
1	6136805	6143638	tID=RLC15449B73v400001;Name=RLC15449B73v400001_NA_LTRsimilarity89.23	.	+	6834
1	6153899	6168334	tID=DHH00002B73v400408;Name=DHH00002B73v400408_Hip1_LCV5p10_LCV3p6	.	+	14436
1	6190376	6230431	tID=RLC00002B73v413443;Name=RLC00002B73v413443_ji_LTRsimilarity93.29	.	+	40056
1	6190402	6214014	tID=RLC00014B73v400819;Name=RLC00014B73v400819_ji_LTRsimilarity95.38	.	+	23613
1	6269764	6269900	tID=DTH_1_6269764_6269900;Name=DTH,TSDlen3,TIRlen14	.	+	137
1	6278718	6289349	tID=RLG00010B73v400070;Name=RLG00010B73v400070_NA_LTRsimilarity95.86	.	+	10632
1	6280405	6297601	tID=DHH00001B73v406584;Name=DHH00001B73v406584_NA_LCV5p9_LCV3p10	.	+	17197
1	6301084	6301315	tID=DTA_1_6301084_6301315;Name=DTA,TSDlen8,TIRlen11	.	+	232
1	6302112	6306125	tID=DTA_1_6302112_6306125;Name=DTA,TSDlen8,TIRlen11	.	+	4014
1	6316693	6330680	tID=DHH00003B73v400206;Name=DHH00003B73v400206_NA_LCV5p9_LCV3p6	.	+	13988
1	6330545	6380604	tID=RLC00015B73v400781;Name=RLC00015B73v400781_NA_LTRsimilarity94.25	.	+	50060
1	6398687	6410711	tID=DHH00004B73v402142;Name=DHH00004B73v402142_NA_LCV5p7_LCV3p10	.	+	12025
1	6412852	6417700	tID=RLC02070B73v400001;Name=RLC02070B73v400001_NA_LTRsimilarity100	.	+	4849
1	6421284	6421931	tID=DTA_1_6421284_6421931;Name=DTA,TSDlen8,TIRlen11	.	+	648
1	6473701	6523258	tID=RLG00001B73v415152;Name=RLG00001B73v415152_cinful-zeon_LTRsimilarity98.09	.	+	49558
1	6531412	6531539	tID=DTH_1_6531412_6531539;Name=DTH,TSDlen3,TIRlen14	.	+	128
1	6552370	6560699	tID=DHH00002B73v400409;Name=DHH00002B73v400409_Hip1_LCV5p14_LCV3p50	.	+	8330
1	6565923	6573308	tID=DHH00002B73v406112;Name=DHH00002B73v406112_Hip1_LCV5p23_LCV3p52	.	+	7386
1	6602029	6605451	tID=DHH02256B73v400001;Name=DHH02256B73v400001_NA_LCV5p7_LCV3p6	.	+	3423
1	6605565	6607170	tID=DHH02255B73v400001;Name=DHH02255B73v400001_NA_LCV5p11_LCV3p6	.	+	1606
1	6790131	6797282	tID=RLG00001B73v400988;Name=RLG00001B73v400988_cinful-zeon_LTRsimilarity91.85	.	+	7152
1	6833620	6844548	tID=DHH00007B73v400044;Name=DHH00007B73v400044_NA_LCV5p10_LCV3p5	.	+	10929
1	7019935	7035718	tID=DHH00002B73v406115;Name=DHH00002B73v406115_Hip1_LCV5p16_LCV3p5	.	+	15784
1	7035864	7044523	tID=RLX15444B73v400001;Name=RLX15444B73v400001_NA_LTRsimilarity86.98	.	+	8660
1	7109486	7142584	tID=RLC24728B73v400001;Name=RLC24728B73v400001_NA_LTRsimilarity97.74	.	+	33099
1	7155967	7164240	tID=RLC00002B73v400732;Name=RLC00002B73v400732_ji_LTRsimilarity91.14	.	+	8274
1	7183852	7184716	tID=DHH00002B73v406117;Name=DHH00002B73v406117_Hip1_LCV5p6_LCV3p8	.	+	865
1	7239912	7251296	tID=RLG00339B73v400001;Name=RLG00339B73v400001_NA_LTRsimilarity96.04	.	+	11385
1	7253260	7254066	tID=DTA_1_7253260_7254066;Name=DTA,TSDlen8,TIRlen11	.	+	807
1	7273941	7291524	tID=RLG00003B73v400639;Name=RLG00003B73v400639_huck_LTRsimilarity93.25	.	+	17584
1	7401971	7405542	tID=RLX15442B73v400001;Name=RLX15442B73v400001_NA_LTRsimilarity88.39	.	+	3572
1	7406292	7412459	tID=DHH00002B73v406118;Name=DHH00002B73v406118_Hip1_LCV5p10_LCV3p15	.	+	6168
1	7459720	7460248	tID=DHH00002B73v406119;Name=DHH00002B73v406119_Hip1_LCV5p9_LCV3p9	.	+	529
1	7460934	7481499	tID=RLC03421B73v400002;Name=RLC03421B73v400002_NA_LTRsimilarity91.58	.	+	20566
1	7484028	7490271	tID=DHH00002B73v406120;Name=DHH00002B73v406120_Hip1_LCV5p15_LCV3p50	.	+	6244
1	7492905	7494519	tID=DHH00002B73v400411;Name=DHH00002B73v400411_Hip1_LCV5p18_LCV3p45	.	+	1615
1	7690292	7695490	tID=RLC00318B73v400003;Name=RLC00318B73v400003_hesa_LTRsimilarity85.77	.	+	5199
1	7834402	7843359	tID=RLC00002B73v400734;Name=RLC00002B73v400734_ji_LTRsimilarity94.54	.	+	8958
1	7837819	7846337	tID=DHH00004B73v402145;Name=DHH00004B73v402145_NA_LCV5p17_LCV3p10	.	+	8519
1	7846808	7875960	tID=RLC24725B73v400001;Name=RLC24725B73v400001_NA_LTRsimilarity92.51	.	+	29153
1	7994235	7998213	tID=DHH00002B73v406122;Name=DHH00002B73v406122_Hip1_LCV5p16_LCV3p38	.	+	3979
1	7998342	8014508	tID=RLC00004B73v408910;Name=RLC00004B73v408910_opie_LTRsimilarity90.22	.	+	16167
1	8123516	8123643	tID=DTH_1_8123516_8123643;Name=DTH,TSDlen3,TIRlen14	.	+	128
1	8130478	8135939	tID=DHH00005B73v400152;Name=DHH00005B73v400152_NA_LCV5p16_LCV3p5	.	+	5462
1	8132905	8151281	tID=RLG00012B73v400023;Name=RLG00012B73v400023_NA_LTRsimilarity90.74	.	+	18377
1	8200308	8219946	tID=RLG00003B73v400640;Name=RLG00003B73v400640_huck_LTRsimilarity96.4	.	+	19639
1	8215048	8224091	tID=DHH00005B73v402059;Name=DHH00005B73v402059_NA_LCV5p16_LCV3p5	.	+	9044
1	8245558	8249449	tID=DHH00002B73v400412;Name=DHH00002B73v400412_Hip1_LCV5p22_LCV3p13	.	+	3892
1	8247805	8248035	tID=DTA_1_8247805_8248035;Name=DTA,TSDlen8,TIRlen11	.	+	231
1	8268744	8285904	tID=DHH00004B73v402148;Name=DHH00004B73v402148_NA_LCV5p7_LCV3p10	.	+	17161
1	8281226	8303484	tID=RLX20761B73v400001;Name=RLX20761B73v400001_NA_LTRsimilarity88.17	.	+	22259
1	8321458	8331759	tID=RLC00016B73v400038;Name=RLC00016B73v400038_NA_LTRsimilarity99.53	.	+	10302
1	8345941	8354144	tID=RLG00001B73v400993;Name=RLG00001B73v400993_cinful-zeon_LTRsimilarity98.27	.	+	8204
1	8357332	8357459	tID=DTH_1_8357332_8357459;Name=DTH,TSDlen3,TIRlen14	.	+	128
1	8364188	8371373	tID=RLX15438B73v400001;Name=RLX15438B73v400001_NA_LTRsimilarity96.28	.	+	7186
1	8406265	8413350	tID=RLG00001B73v400994;Name=RLG00001B73v400994_cinful-zeon_LTRsimilarity89.92	.	+	7086
1	8413682	8419801	tID=DHH00002B73v406123;Name=DHH00002B73v406123_Hip1_LCV5p24_LCV3p18	.	+	6120
1	8483089	8494085	tID=DHH02231B73v400001;Name=DHH02231B73v400001_NA_LCV5p10_LCV3p5	.	+	10997
1	8558126	8571965	tID=RLG00003B73v400642;Name=RLG00003B73v400642_huck_LTRsimilarity99.54	.	+	13840
1	8578445	8592925	tID=DHH00002B73v406125;Name=DHH00002B73v406125_Hip1_LCV5p13_LCV3p14	.	+	14481
1	8586703	8590320	tID=RLX15436B73v400001;Name=RLX15436B73v400001_NA_LTRsimilarity91.56	.	+	3618
1	8593491	8602686	tID=DHH00003B73v400208;Name=DHH00003B73v400208_NA_LCV5p7_LCV3p7	.	+	9196
1	8621183	8659935	tID=RLC00004B73v408911;Name=RLC00004B73v408911_opie_LTRsimilarity87.73	.	+	38753
1	8666765	8667055	tID=DHH02230B73v400001;Name=DHH02230B73v400001_NA_LCV5p6_LCV3p9	.	+	291
1	8667599	8681011	tID=DHH02229B73v400001;Name=DHH02229B73v400001_NA_LCV5p6_LCV3p5	.	+	13413
1	8687534	8699342	tID=DHH00002B73v400413;Name=DHH00002B73v400413_Hip1_LCV5p12_LCV3p41	.	+	11809
1	8759939	8772868	tID=RLG00005B73v400258;Name=RLG00005B73v400258_xilon-diguus_LTRsimilarity97.42	.	+	12930
1	8782101	8789800	tID=RLX15434B73v400001;Name=RLX15434B73v400001_NA_LTRsimilarity99.25	.	+	7700
1	8820529	8853218	tID=RLG00011B73v401156;Name=RLG00011B73v401156_milt_LTRsimilarity91.91	.	+	32690
1	8919587	8919714	tID=DTH_1_8919587_8919714;Name=DTH,TSDlen3,TIRlen14	.	+	128
1	8983912	9006224	tID=RLC00004B73v408912;Name=RLC00004B73v408912_opie_LTRsimilarity88.96	.	+	22313
1	9017953	9022279	tID=DHH00002B73v400414;Name=DHH00002B73v400414_Hip1_LCV5p24_LCV3p5	.	+	4327
1	9018318	9028992	tID=RLG00142B73v400001;Name=RLG00142B73v400001_NA_LTRsimilarity88.89	.	+	10675
1	9097779	9103137	tID=DHH00002B73v400415;Name=DHH00002B73v400415_Hip1_LCV5p16_LCV3p48	.	+	5359
1	9116133	9132727	tID=DHH00003B73v400209;Name=DHH00003B73v400209_NA_LCV5p9_LCV3p6	.	+	16595
1	9155347	9169512	tID=DHH00001B73v400479;Name=DHH00001B73v400479_NA_LCV5p15_LCV3p7	.	+	14166
1	9236681	9255119	tID=RLG00001B73v400997;Name=RLG00001B73v400997_cinful-zeon_LTRsimilarity97.45	.	+	18439
1	9252569	9263775	tID=DHH00010B73v400334;Name=DHH00010B73v400334_NA_LCV5p8_LCV3p5	.	+	11207
1	9340509	9340969	tID=DHH00002B73v400416;Name=DHH00002B73v400416_Hip1_LCV5p13_LCV3p20	.	+	461
1	9453950	9455437	tID=DHH00032B73v400035;Name=DHH00032B73v400035_NA_LCV5p5_LCV3p5	.	+	1488
1	9463613	9478142	tID=DHH00005B73v402062;Name=DHH00005B73v402062_NA_LCV5p11_LCV3p5	.	+	14530
1	9494862	9496157	tID=DTM_1_9494862_9496157;Name=DTM,TSDlen9,TIRlen40	.	+	1296
